"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"3",5,"unc_rawben_rel_max < 1.222 & utilities >= 902 & utilities < 939.5",252,3.6761,0.2897,0.2168,0.1597,0.2168,73,"earned_overissuance"
"3",6,"unc_rawben_rel_max < 1.232 & unc_rawben_rel_max >= 1.197 & rawearn < 40.5",369,5.3829,0.2547,0.2886,0.2057,0.2886,94,"earned_overissuance"
"3",7,"unc_rawben_rel_max >= 1.209 & utilities < 339.5 & utilities >= 286",398,5.806,0.2513,0.305,0.2188,0.305,100,"earned_overissuance"
"3",8,"total_deductions >= 796.7 & rawgross < 1792 & shelter_expenses >= 1414 & months_since_cert_n >= 3.5",498,7.2648,0.245,0.355,0.267,0.355,122,"earned_overissuance"
"3",9,"shelter_expenses >= 848 & utilities < 301.5 & rawgross < 389.5",514,7.4982,0.2412,0.3636,0.2713,0.3636,124,"earned_overissuance"
"3",10,"shelter_expenses >= 1910 & unc_rawben_rel_max < 1.336 & rawben_rel_max >= 0.6304",668,9.7447,0.229,0.43,0.3348,0.43,153,"earned_overissuance"
"3",11,"unc_rawben_rel_max < 1.261 & rawgross < 647.5 & elderly_disabled_i %in% c(""TRUE"")",717,10.4595,0.219,0.4496,0.3435,0.4496,157,"earned_overissuance"
"3",12,"expedited_i %in% c(""FALSE"") & rawgross < 2.5 & months_since_cert_n < 9.5 & months_since_cert_n >= 7.5",802,11.6995,0.207,0.4795,0.3632,0.4795,166,"earned_overissuance"
"3",13,"unc_rawben_rel_max >= 1.26 & months_since_cert_n >= 2.5 & total_deductions >= 665.6 & shelter_expenses < 1074",832,12.1371,0.2055,0.4898,0.3742,0.4898,171,"earned_overissuance"
"3",14,"rawben_rel_max < 0.9005 & rawearn >= 40.5 & rawearn < 713.5",955,13.9314,0.199,0.5247,0.4158,0.5247,190,"earned_overissuance"
"4",1,"unc_rawben_rel_max < 0.9374 & rawgross < 1158 & rawearn >= 3",102,1.9263,0.2255,0.0945,0.0652,0.0945,23,"earned_overissuance"
"4",2,"rawgross < 144 & cat_elig >= 0.5 & total_deductions >= 613.5 & utilities < 545",203,3.8338,0.2266,0.1838,0.1303,0.1838,46,"earned_overissuance"
"4",3,"total_deductions < 836.3 & shelter_expenses < 411.5 & rawearn >= 151 & rawben_rel_max >= 0.754",252,4.7592,0.2063,0.2156,0.1473,0.2156,52,"earned_overissuance"
"4",4,"total_deductions < 1027 & months_since_cert_n >= 5.5 & rawearn >= 1000 & rawben_rel_max >= 0.6007",435,8.2153,0.1977,0.3117,0.2436,0.3117,86,"earned_overissuance"
"4",5,"rawunearn < 12.5 & rawben_rel_max >= 0.5858 & total_deductions >= 933",749,14.1454,0.1789,0.4338,0.3796,0.4338,134,"earned_overissuance"
"4",6,"rawearn >= 353 & months_since_cert_n < 13 & rawgross >= 1069 & rawearn < 1138",934,17.6393,0.1681,0.5052,0.4448,0.5052,157,"earned_overissuance"
"5+",1,"months_since_cert_n >= 5.5 & shelter_expenses >= 1274 & rawben_rel_max >= 0.7972",186,3.1371,0.1774,0.1244,0.0775,0.1244,33,"earned_overissuance"
"5+",2,"rawearn >= 1191 & rawgross < 1928 & shelter_expenses >= 794",427,7.2019,0.1639,0.2238,0.1643,0.2238,70,"earned_overissuance"
"5+",3,"cat_elig < 2.5 & shelter_expenses >= 1352 & months_since_cert_n >= 3.5 & cat_elig >= 1.5",669,11.2835,0.154,0.3147,0.2418,0.3147,103,"earned_overissuance"
"5+",4,"rawearn >= 713 & rawben_rel_max >= 0.7393 & months_since_cert_n >= 5.5",795,13.4087,0.1484,0.3518,0.277,0.3518,118,"earned_overissuance"
"5+",5,"rawben_rel_max >= 0.5892 & rawearn >= 1044",1666,28.0992,0.1236,0.5381,0.4836,0.5381,206,"earned_overissuance"
